Student,ID,SIS User ID,SIS Login ID,Root Account,Section,Student's Request for Authorization of Absence - Webcourses Quiz for Step 1 (7728942),Attendance (7790028),Attendance - Final Exam Rebuttal 67% or more (7796475),Prerequisite / Financial Aid Quiz- Requires Respondus LockDown Browser (7727520),EC: W02-Video-Content-Quiz-Fall-2022 (7727518),EC: W04-Video-Content-Quiz-Fall-2022 (7727562),EC: W05-Video-Content-Quiz-Fall-2022 (7727560),EC: W06-Video-Content-Quiz-Fall-2022 (7727498),EC: W07-Video-Content-Quiz-Fall-2022 (7727490),EC Total to Ex1 (7727580),EC: W08-Video-Content-Quiz-Fall-2022 (7727564),EC: W10-Video-Content-Quiz (7727505),EC: W11-Video-Content-Quiz-Fall-2022 (7727544),EC: W13-Video-Content-Quiz-Fall-2022 (7727500),EC Total to Ex2 (7727581),EC: W09-Video-Content-Quiz-Fall-2022 (7727499),EC Total to Final (7727582),FYI - not an assignment: Intel Overclocking video (7727584),Quiz 3 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7790127),Final Exam-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7795341),Midterm Exam 1 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7763351),Midterm Exam 2-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7727489),EC-Bonus-Project (7727577),Attendance - Midterm 1 rebuttal (7769820),Attendance - Quiz 2 rebuttal (7777640),Attendance - Midterm 2 Rebuttal (7788141),Midterm Exam 1 + EC (7727585),Midterm Exam 2 + EC (7727586),Final-s+Curve+EC (7727583),Quiz 1- Requires Respondus LockDown Browser (7727545),Quiz 2 - Requires Respondus LockDown Browser (7776153),Quiz 3 with +4 Curve (7796812),Project #1 Score (7727589),Collaborative Activity #1 Score (7727573),Project #2 Score (7727590),Collaborative Activity #2 Score (7727574),Project 3 (7796914),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assignment Reminders Current Score,Assignment Reminders Unposted Current Score,Assignment Reminders Final Score,Assignment Reminders Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC Category Current Score,(Midterm Exam 1)+EC Category Unposted Current Score,(Midterm Exam 1)+EC Category Final Score,(Midterm Exam 1)+EC Category Unposted Final Score,(Midterm Exam 2)+EC Category Current Score,(Midterm Exam 2)+EC Category Unposted Current Score,(Midterm Exam 2)+EC Category Final Score,(Midterm Exam 2)+EC Category Unposted Final Score,(Final Exam)+EC Category Current Score,(Final Exam)+EC Category Unposted Current Score,(Final Exam)+EC Category Final Score,(Final Exam)+EC Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Project 3 Materials Overall Category Current Score,Project 3 Materials Overall Category Unposted Current Score,Project 3 Materials Overall Category Final Score,Project 3 Materials Overall Category Unposted Final Score,Migrated Quizzes Current Score,Migrated Quizzes Unposted Current Score,Migrated Quizzes Final Score,Migrated Quizzes Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,,,,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,,,,,0,100,100,7,1,1,1,1,1,5,1,2,1,1,5,2,12,0,25,100,100,100,10,100,100,100,100,100,100,25,25,25,100,100,100,100,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
1,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,,100,95,4.67,0,0,0,0,0,,1,1.3,0,0,,2,7,,12.33,19.25,68.6,52.8,7,100,80,100,76.6,65.1,35.25,22.67,22,16.33,82.83,100,78.47,100,89.5,97.5,97.5,97.5,97.5,,,,,47.19,47.19,47.19,47.19,25.27,25.27,25.27,25.27,80.08,80.08,80.08,80.08,76.6,76.6,76.6,76.6,65.1,65.1,65.1,65.1,35.25,35.25,35.25,35.25,90.68,90.68,90.68,90.68,88,88,88,88,65.32,65.32,65.32,65.32,82.83,82.83,82.83,82.83,100,100,100,100,78.47,78.47,78.47,78.47,100,100,100,100,89.5,89.5,89.5,89.5,,,,,69.15,69.15,69.15,69.15,C,C,C,C
2,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,0,100,90,6,0,1,1,0,0,,1,0,0,0,,2,0,,12,72.33,57.37,68.93,0,100,100,60,67.37,79.93,81.33,20.67,24,16,90.15,100,87.55,100,99.4,95,95,95,95,,,,,57.89,57.89,57.89,57.89,67.46,67.46,67.46,67.46,75.75,75.75,75.75,75.75,67.37,67.37,67.37,67.37,79.93,79.93,79.93,79.93,81.33,81.33,81.33,81.33,82.68,82.68,82.68,82.68,96,96,96,96,64,64,64,64,90.15,90.15,90.15,90.15,100,100,100,100,87.55,87.55,87.55,87.55,100,100,100,100,99.4,99.4,99.4,99.4,,,,,81.26,81.26,81.26,81.26,B+,B+,B+,B+
3,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,,100,85,6,1,0,0,1,1,,0,1.75,0,0,,2,0,,8.67,54.58,48.67,64.13,0,100,40,100,58.67,76.88,63.58,22.17,18,12.67,86.7,150,83.37,100,69.95,92.5,92.5,92.5,92.5,,,,,67.11,67.11,67.11,67.11,50.6,50.6,50.6,50.6,69.18,69.18,69.18,69.18,58.67,58.67,58.67,58.67,76.88,76.88,76.88,76.88,63.58,63.58,63.58,63.58,88.67,88.67,88.67,88.67,72,72,72,72,50.68,50.68,50.68,50.68,86.7,86.7,86.7,86.7,150,150,150,150,83.37,83.37,83.37,83.37,100,100,100,100,69.95,69.95,69.95,69.95,,,,,72.19,72.19,72.19,72.19,C,C,C,C
4,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,100,100,30,4.67,0,0,0,0,0,,0,0,1,0,,0,11,,14.6,58.17,47.5,47.33,10,0,20,0,55.5,55.33,78.17,10,11.5,18.6,69.5,150,68.48,0,96.5,65,65,65,115,,,,,29.82,29.82,29.82,29.82,58.21,58.21,58.21,58.21,24.48,24.48,24.48,24.48,55.5,55.5,55.5,55.5,55.33,55.33,55.33,55.33,78.17,78.17,78.17,78.17,40,40,40,40,46,46,46,46,74.4,74.4,74.4,74.4,69.5,69.5,69.5,69.5,150,150,150,150,68.48,68.48,68.48,68.48,0,0,0,0,96.5,96.5,96.5,96.5,,,,,65.23,65.23,65.23,65.23,C,C,C,C
5,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,,100,80,6,0.5,0,0,0,0,,0,0.2,0,0,,1,10,,16.07,58.34,80.4,88.3,10,100,40,80,88.9,97.5,77.34,24.5,21.5,20.07,87,150,15.87,150,71,90,90,90,90,,,,,40.53,40.53,40.53,40.53,59.53,59.53,59.53,59.53,78.18,78.18,78.18,78.18,88.9,88.9,88.9,88.9,97.5,97.5,97.5,97.5,77.34,77.34,77.34,77.34,98,98,98,98,86,86,86,86,80.28,80.28,80.28,80.28,87,87,87,87,150,150,150,150,15.87,15.87,15.87,15.87,150,150,150,150,71,71,71,71,,,,,84.13,84.13,84.13,84.13,A,A,A,A
6,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,,100,85,5,0.5,0,0,1,1,,0,0,0.33,0,,2,10.33,,17.07,54.33,89.53,79.33,10,100,60,80,99.03,90.33,73.66,21.67,23.5,21.07,92.1,83.5,87.45,50,92,92.5,92.5,92.5,92.5,,,,,51.75,51.75,51.75,51.75,57.12,57.12,57.12,57.12,82.13,82.13,82.13,82.13,99.03,99.03,99.03,99.03,90.33,90.33,90.33,90.33,73.66,73.66,73.66,73.66,86.67,86.67,86.67,86.67,94,94,94,94,84.28,84.28,84.28,84.28,92.1,92.1,92.1,92.1,83.5,83.5,83.5,83.5,87.45,87.45,87.45,87.45,50,50,50,50,92,92,92,92,,,,,87.53,87.53,87.53,87.53,A,A,A,A
7,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,100,50,77.5,3,0.5,0,1,0,1,,1,0.65,0,1,,2,1,,12.27,72.5,80,51,0,100,100,60,89.5,63.65,82.5,19.17,19,16.27,85.7,100,83.5,100,76.45,63.75,63.75,63.75,113.75,,,,,53.42,53.42,53.42,53.42,67.81,67.81,67.81,67.81,76.67,76.67,76.67,76.67,89.5,89.5,89.5,89.5,63.65,63.65,63.65,63.65,82.5,82.5,82.5,82.5,76.68,76.68,76.68,76.68,76,76,76,76,65.08,65.08,65.08,65.08,85.7,85.7,85.7,85.7,100,100,100,100,83.5,83.5,83.5,83.5,100,100,100,100,76.45,76.45,76.45,76.45,,,,,79.21,79.21,79.21,79.21,B,B,B,B
8,,,,webcourses.ucf.edu,EEL3801C-22Fall 0M01,,75,66.25,6,0.5,1,1,0,0,,1,0,0.67,0,,0,10.67,,11.4,37.58,71.67,20.13,10,50,100,40,82.17,29.13,57.25,5,17.5,15.4,73.45,150,87.43,150,65.2,70.63,70.63,70.63,70.63,,,,,53.51,53.51,53.51,53.51,39.19,39.19,39.19,39.19,57.22,57.22,57.22,57.22,82.17,82.17,82.17,82.17,29.13,29.13,29.13,29.13,57.25,57.25,57.25,57.25,20,20,20,20,70,70,70,70,61.6,61.6,61.6,61.6,73.45,73.45,73.45,73.45,150,150,150,150,87.43,87.43,87.43,87.43,150,150,150,150,65.2,65.2,65.2,65.2,,,,,63.12,63.12,63.12,63.12,C,C,C,C
